transaction_id,date,month,product,category,unit_price_rwf,quantity,line_total_rwf,region,client_name,client_type
TXN-00056,2025-01-08,2025-01,Vitamin C 1000mg,Vitamins & Supplements,1900,19,36100,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00057,2025-01-08,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,61,36600,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00058,2025-01-08,2025-01,Ferrous Sulphate + Folic Acid,Vitamins & Supplements,1100,35,38500,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00059,2025-01-09,2025-01,Multivitamin Syrup 100ml,Vitamins & Supplements,3200,17,54400,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00060,2025-01-09,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,82,57400,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00061,2025-01-09,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,40,60000,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00062,2025-01-09,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,39,58500,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00063,2025-01-09,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,38,60800,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00064,2025-01-09,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,19,53200,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00065,2025-01-09,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,96,57600,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00066,2025-01-10,2025-01,Digital Thermometer,Medical Supplies,5800,11,63800,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00067,2025-01-10,2025-01,Disposable Syringes (box of 50),Medical Supplies,6200,7,43400,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00068,2025-01-10,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,13,58500,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00069,2025-01-10,2025-01,Metformin 500mg,Diabetes Care,1300,36,46800,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00070,2025-01-10,2025-01,Amoxicillin 500mg,Antibiotics,1200,35,42000,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00071,2025-01-10,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,29,43500,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00072,2025-01-10,2025-01,Cough Syrup 100ml,Cold & Flu,1400,33,46200,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00073,2025-01-10,2025-01,Cough Syrup 100ml,Cold & Flu,1400,30,42000,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00074,2025-01-10,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,32,48000,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00075,2025-01-11,2025-01,Coartem 20/120mg,Antimalarials,2200,24,52800,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00076,2025-01-11,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,88,52800,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00077,2025-01-11,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,13,58500,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00078,2025-01-11,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,18,50400,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00079,2025-01-11,2025-01,Cough Syrup 100ml,Cold & Flu,1400,40,56000,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00080,2025-01-11,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,77,53900,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00081,2025-01-12,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,9,40500,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00082,2025-01-12,2025-01,Losartan 50mg,Antihypertensives,2100,17,35700,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00083,2025-01-12,2025-01,Digital Thermometer,Medical Supplies,5800,4,23200,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00084,2025-01-12,2025-01,Hydrocortisone Cream 15g,Dermatology,2300,18,41400,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00085,2025-01-12,2025-01,Coartem 20/120mg,Antimalarials,2200,16,35200,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00086,2025-01-12,2025-01,Ferrous Sulphate + Folic Acid,Vitamins & Supplements,1100,29,31900,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00087,2025-01-12,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,67,33500,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00088,2025-01-12,2025-01,Metformin 500mg,Diabetes Care,1300,25,32500,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00089,2025-01-12,2025-01,Metronidazole 400mg,Antibiotics,900,38,34200,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00090,2025-01-13,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,30,45000,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00091,2025-01-13,2025-01,Amoxicillin 500mg,Antibiotics,1200,34,40800,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00092,2025-01-13,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,13,36400,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00093,2025-01-13,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,60,42000,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00094,2025-01-13,2025-01,Insulin Glargine Pen,Diabetes Care,9500,6,57000,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00095,2025-01-13,2025-01,Amlodipine 5mg,Antihypertensives,1700,23,39100,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00096,2025-01-13,2025-01,Amlodipine 5mg,Antihypertensives,1700,23,39100,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00097,2025-01-13,2025-01,Diclofenac Gel 50g,Analgesics & Pain Relief,2500,18,45000,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00098,2025-01-13,2025-01,Losartan 50mg,Antihypertensives,2100,23,48300,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00099,2025-01-14,2025-01,Insulin Glargine Pen,Diabetes Care,9500,2,19000,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00100,2025-01-14,2025-01,Multivitamin Syrup 100ml,Vitamins & Supplements,3200,7,22400,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00101,2025-01-14,2025-01,Cough Syrup 100ml,Cold & Flu,1400,22,30800,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00102,2025-01-14,2025-01,Coartem 20/120mg,Antimalarials,2200,15,33000,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00103,2025-01-14,2025-01,Coartem 20/120mg,Antimalarials,2200,10,22000,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00104,2025-01-14,2025-01,Insulin Glargine Pen,Diabetes Care,9500,5,47500,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00105,2025-01-14,2025-01,Metronidazole 400mg,Antibiotics,900,27,24300,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00106,2025-01-14,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,16,24000,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00107,2025-01-14,2025-01,Antihistamine Tablets,Cold & Flu,800,31,24800,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00108,2025-01-14,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,38,26600,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00109,2025-01-14,2025-01,Cough Syrup 100ml,Cold & Flu,1400,18,25200,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00110,2025-01-14,2025-01,Antihistamine Tablets,Cold & Flu,800,31,24800,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00111,2025-01-14,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,18,27000,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00112,2025-01-14,2025-01,Cough Syrup 100ml,Cold & Flu,1400,21,29400,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00113,2025-01-15,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,75,37500,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00114,2025-01-15,2025-01,Ferrous Sulphate + Folic Acid,Vitamins & Supplements,1100,32,35200,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00115,2025-01-15,2025-01,Amlodipine 5mg,Antihypertensives,1700,20,34000,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00116,2025-01-15,2025-01,Hydrocortisone Cream 15g,Dermatology,2300,16,36800,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00117,2025-01-15,2025-01,Ferrous Sulphate + Folic Acid,Vitamins & Supplements,1100,31,34100,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00118,2025-01-15,2025-01,Metformin 500mg,Diabetes Care,1300,30,39000,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00119,2025-01-15,2025-01,Amoxicillin 500mg,Antibiotics,1200,28,33600,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00120,2025-01-15,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,74,37000,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00121,2025-01-15,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,22,35200,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00122,2025-01-15,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,51,35700,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00123,2025-01-15,2025-01,Metronidazole 400mg,Antibiotics,900,41,36900,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00124,2025-01-16,2025-01,Hydrocortisone Cream 15g,Dermatology,2300,18,41400,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00125,2025-01-16,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,10,45000,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00126,2025-01-16,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,6,27000,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00127,2025-01-16,2025-01,Diclofenac Gel 50g,Analgesics & Pain Relief,2500,12,30000,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00128,2025-01-16,2025-01,Digital Thermometer,Medical Supplies,5800,8,46400,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00129,2025-01-16,2025-01,Diclofenac Gel 50g,Analgesics & Pain Relief,2500,14,35000,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00130,2025-01-16,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,75,37500,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00131,2025-01-16,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,75,37500,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00132,2025-01-16,2025-01,Diclofenac Gel 50g,Analgesics & Pain Relief,2500,16,40000,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00133,2025-01-16,2025-01,Diclofenac Gel 50g,Analgesics & Pain Relief,2500,12,30000,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00134,2025-01-17,2025-01,Coartem 20/120mg,Antimalarials,2200,12,26400,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00135,2025-01-17,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,23,36800,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00136,2025-01-17,2025-01,Metronidazole 400mg,Antibiotics,900,38,34200,Kigali - Gasabo,Kigali Wholesale Medical Supplies,Retail Pharmacy
TXN-00137,2025-01-17,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,14,39200,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00138,2025-01-17,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,9,25200,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00139,2025-01-17,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,24,36000,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00140,2025-01-17,2025-01,Prenatal Vitamins,Maternal & Child Health,2800,9,25200,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00141,2025-01-17,2025-01,Cough Syrup 100ml,Cold & Flu,1400,25,35000,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00142,2025-01-17,2025-01,Losartan 50mg,Antihypertensives,2100,14,29400,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00143,2025-01-17,2025-01,Multivitamin Syrup 100ml,Vitamins & Supplements,3200,10,32000,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00144,2025-01-17,2025-01,Vitamin C 1000mg,Vitamins & Supplements,1900,16,30400,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00145,2025-01-17,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,49,34300,Kigali - Nyarugenge,Nyarugenge Health Center,Health Center
TXN-00146,2025-01-18,2025-01,Losartan 50mg,Antihypertensives,2100,18,37800,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00147,2025-01-18,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,20,32000,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00148,2025-01-18,2025-01,Metronidazole 400mg,Antibiotics,900,39,35100,Kigali - Gasabo,Gasabo District Hospital,District Hospital
TXN-00149,2025-01-18,2025-01,Metronidazole 400mg,Antibiotics,900,41,36900,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00150,2025-01-18,2025-01,Losartan 50mg,Antihypertensives,2100,19,39900,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00151,2025-01-18,2025-01,Ibuprofen 400mg,Analgesics & Pain Relief,700,49,34300,Kigali - Kicukiro,Kicukiro Retail Pharmacy,Retail Pharmacy
TXN-00152,2025-01-18,2025-01,Disposable Syringes (box of 50),Medical Supplies,6200,4,24800,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00153,2025-01-18,2025-01,Coartem 20/120mg,Antimalarials,2200,17,37400,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00154,2025-01-18,2025-01,Paracetamol 500mg,Analgesics & Pain Relief,500,70,35000,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00155,2025-01-18,2025-01,Multivitamin Syrup 100ml,Vitamins & Supplements,3200,10,32000,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00156,2025-01-18,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,22,39600,Southern Province - Huye,Huye Community Clinic,Private Clinic
TXN-00157,2025-01-19,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,18,27000,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00158,2025-01-19,2025-01,Hydrocortisone Cream 15g,Dermatology,2300,14,32200,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00159,2025-01-19,2025-01,Surgical Gloves (box of 100),Medical Supplies,4500,8,36000,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00160,2025-01-19,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,13,23400,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00161,2025-01-19,2025-01,Metronidazole 400mg,Antibiotics,900,33,29700,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00162,2025-01-19,2025-01,Coartem 20/120mg,Antimalarials,2200,11,24200,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00163,2025-01-19,2025-01,Losartan 50mg,Antihypertensives,2100,13,27300,Northern Province - Musanze,Kayonza District Hospital,Health Center
TXN-00164,2025-01-19,2025-01,Ferrous Sulphate + Folic Acid,Vitamins & Supplements,1100,26,28600,Kigali - Kicukiro,Butare Polyclinic,Wholesale Distributor
TXN-00165,2025-01-19,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,44,26400,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00166,2025-01-19,2025-01,Cough Syrup 100ml,Cold & Flu,1400,19,26600,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00167,2025-01-19,2025-01,Coartem 20/120mg,Antimalarials,2200,16,35200,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00168,2025-01-19,2025-01,Amodiaquine + Artesunate 25mg,Antimalarials,1800,17,30600,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00169,2025-01-20,2025-01,Quinine Sulphate 300mg,Antimalarials,1500,28,42000,Western Province - Rubavu,Rubavu Lakeside Pharmacy,District Hospital
TXN-00170,2025-01-20,2025-01,Antihistamine Tablets,Cold & Flu,800,46,36800,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00171,2025-01-20,2025-01,Amoxicillin 500mg,Antibiotics,1200,34,40800,Northern Province - Musanze,Musanze District Hospital,Wholesale Distributor
TXN-00172,2025-01-20,2025-01,Oral Rehydration Salts,Maternal & Child Health,600,62,37200,Southern Province - Huye,Gisenyi Health Post,District Hospital
TXN-00173,2025-01-20,2025-01,Losartan 50mg,Antihypertensives,2100,18,37800,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
TXN-00174,2025-01-20,2025-01,Disposable Syringes (box of 50),Medical Supplies,6200,6,37200,Kigali - Nyarugenge,Remera Family Pharmacy,Private Clinic
TXN-00175,2025-01-20,2025-01,Ciprofloxacin 500mg,Antibiotics,1600,22,35200,Eastern Province - Rwamagana,Rwamagana Health Center,Health Center
